fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220927 062749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	333444	0.080711118746362	0.544449156367377	5391	188	0.0434636125217654	26738666.6666667	98
20220927 063356	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	194	TRUE	333444	0.0574035104912702	0.865419672802105	7999	526	0.0487403668102746	26982000	99
20220927 070952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	716	TRUE	333444	0.0263851850961553	0.412175125268626	3310	1021	0.0378162394306273	27521333.3333333	100
20220927 075043	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	703	TRUE	333444	0.0101826356788838	0.235525818051352	5503	657	0.0452301697606308	26973333.3333333	101
20220927 080843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	463	TRUE	333444	0.0408510281047085	0.356776743499829	6392	1024	0.0449338474233396	27022000	102
20220927 081340	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	333444	0.0763611352756782	0.61684639853423	1604	33	0.0435102926412477	27134666.6666667	103
20220927 081726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	333444	0.121834152845981	0.999822445180789	6782	149	0.0408782980602109	26782666.6666667	104
20220927 082443	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	480	TRUE	333444	0.149848514263901	0.751355856999237	1814	17	0.0125022081302839	26404666.6666667	105
20220927 082733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	333444	0.146753077248145	0.999826170226976	1618	21	0.0765874320741024	24322000	106
20220927 083255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	333444	0.0825940314747458	0.209513978854808	3935	131	0.0440969068473167	26684666.6666667	107
20220927 084513	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	337	TRUE	333444	0.114615119369176	0.24769798440441	2688	101	0.0125021090336353	26585333.3333333	108
20220927 093944	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1508	TRUE	333444	0.0100102727209542	0.381290721584351	2921	529	0.0393875541058447	27515333.3333333	109
20220927 094502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	108	TRUE	333444	0.0885625161315701	0.782407443666046	4894	1024	0.0529580722334817	26512000	110
20220927 095433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	247	TRUE	333444	0.0750414007563177	0.516273728523683	3361	623	0.0338979131764467	26970000	111
20220927 100903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	273	TRUE	333444	0.0498489250914397	0.424492536557521	1745	278	0.0367364846423208	27360000	112
20220927 105315	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1428	TRUE	333444	0.0102499827115545	0.234448491701667	2662	624	0.0370582449343985	27594000	113
20220927 105802	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	333444	0.09429781195373	0.823115246929824	5429	16	0.0446238174929735	27162666.6666667	114
20220927 121907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2037	TRUE	333444	0.010173974841344	0.305881205515414	2073	1024	0.0259790184925219	27661333.3333333	115
20220927 125507	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	684	TRUE	333444	0.0101333499476331	0.225312678162998	3135	91	0.0445540368791193	27510666.6666667	116
20220927 141211	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1904	TRUE	333444	0.0105939022331403	0.486862619347533	8000	1021	0.0469236335740125	27216000	117
20220927 142721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	278	TRUE	333444	0.0375251657563194	0.201817506486697	7998	596	0.0627199891434963	26685333.3333333	118
20220927 143712	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	652	TRUE	333444	0.0280562076673842	0.773683595792181	7995	17	0.0433729019819968	27054666.6666667	119
20220927 144649	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	239	TRUE	333444	0.0808124716734115	0.261493379722301	1610	178	0.0250873632904221	26988666.6666667	120
20220927 145252	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7	TRUE	111222	0.0120887382257522	0.448977986062213	2224	1024	0.0126190889923661	20796000	121
20220927 150213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	209	TRUE	333444	0.0847828021155147	0.247717431073615	2001	1024	0.0295154306624284	26967333.3333333	122
20220927 151259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	333444	0.113159902932609	0.363223589614034	1410	262	0.0133646708057951	26746000	123
20220927 151821	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	333444	0.103848115473269	0.542287564634206	2357	18	0.0357706374452047	26802666.6666667	124
20220927 152601	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	124	TRUE	333444	0.111558548974691	0.332499312436886	3130	987	0.0346412553927991	27113333.3333333	125
20220927 152941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	333444	0.122126226116478	0.612515562053549	1661	327	0.064488843288315	25696666.6666667	126
20220927 153911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	198	TRUE	333444	0.0613842291979794	0.36206602675981	3256	1019	0.0551337088505799	26664666.6666667	127
20220927 154213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	333444	0.142110675161666	0.998539863939394	8000	1018	0.0425492561702178	26668666.6666667	128
20220927 154627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	333444	0.0814513190330347	0.999179434667141	7997	979	0.0667097959847115	25903333.3333333	129
20220927 155206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	333444	0.112262375416405	0.600479922305583	1761	147	0.0195286644086367	26674666.6666667	130
20220927 164416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	958	TRUE	333444	0.0100076981015503	0.288931306632447	1577	548	0.0340005131856872	27734000	131
20220927 165546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	319	TRUE	333444	0.095351275742336	0.257046450073193	4932	1024	0.0270616831998636	26446000	132
20220927 171002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	343	TRUE	333444	0.0280736383151216	0.220763648350816	3157	539	0.051390134193047	27290666.6666667	133
20220927 171511	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	163	TRUE	333444	0.0573777060452869	0.998615477734947	5895	16	0.077650766448054	25040666.6666667	134
20220927 171945	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	225	TRUE	333444	0.149998258355512	0.962612851490772	5056	1022	0.0306885623485141	26007333.3333333	135
20220927 183026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1380	TRUE	333444	0.0101377323619382	0.496368825079093	7948	17	0.0420845104151336	27158000	136
20220927 191607	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1474	TRUE	333444	0.0108570422365895	0.200055477769351	6797	1023	0.0871336980149826	24554666.6666667	137
20220927 192208	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	167	TRUE	333444	0.101068204615495	0.200356551567775	6562	16	0.0634680015260899	26136666.6666667	138
20220927 193206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	424	TRUE	333444	0.149941307961299	0.998914295544387	5505	16	0.012937322935127	24743333.3333333	139
20220927 200137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1576	TRUE	333444	0.0100505633557211	0.59983944950197	5345	18	0.0426983015326727	27136000	140
